url;name;town;stars;score;reviews;rent_type;capacity;bedrooms;beds;price;longitude;latitude;street;municipality;province;url_image
https://www.escapadarural.com/casa-rural/house1952;house1952;Navès;;;0;Alquiler íntegro;6 -   8 personas;6 camas;;29€ pers./noche (aprox);41.990711300000;2.671588723603;C/ Roger de Lluria, 5;Navès;Lleida;https://media.er2.co/es/house1952
https://www.escapadarural.com/casa-rural/house1953;house1953;Cardet;;;0;Alquiler íntegro;9 personas;9 camas;;23€ pers./noche (aprox);42.498100000000;2.672309776509;C/ Rodó, 7;Cardet;Lleida;https://media.er2.co/es/house1953
https://www.escapadarural.com/casa-rural/house1954;house1954;Cardona;;;0;Alquiler íntegro;1 -   8 personas;4 dormitorios;4 camas;25€ pers./noche (aprox);41.912766282085;2.675872243042;C/ Rocafort,10;Cardona;Barcelona;https://media.er2.co/es/house1954
https://www.escapadarural.com/casa-rural/house1955;house1955;Deltebre;;;0;Alquiler íntegro;8 personas;4 dormitorios;6 camas;17€ pers./noche (aprox);40.721781700000;2.677519500000;C/ Riu de la Mola, 8;Deltebre;Tarragona;https://media.er2.co/es/house1955
https://www.escapadarural.com/casa-rural/house1956;house1956;Torrelles de Llobregat;stars-l-5;5.0;5;Por habitaciones;2 -   29 personas;12 dormitorios;18 camas;53€ pers./noche (aprox);41.353900000000;2.678047500000;C/ Riu Brugent, 16;Torrelles de Llobregat;Barcelona;https://media.er2.co/es/house1956
https://www.escapadarural.com/casa-rural/house1957;house1957;Porqueres;;;0;Alquiler íntegro;1 -   15 personas;13 camas;;50€ pers./noche (aprox);42.140002629756;2.680084407654;C/ Riu Brugent, 16;Porqueres;Girona;https://media.er2.co/es/house1957
https://www.escapadarural.com/casa-rural/house1958;house1958;Tavascan;;;0;Por habitaciones;33 personas;4 dormitorios;33 camas;24€ pers./noche (aprox);42.643916323387;2.680828015043;C/ Reguer, 2;Tavascan;Lleida;https://media.er2.co/es/house1958
https://www.escapadarural.com/casa-rural/house1959;house1959;Rubió de Dalt;;;0;Por habitaciones;1 -   3 personas;2 dormitorios;2 camas;38€ pers./noche (aprox);41.889163812767;2.680848155689;C/ Rectoria, 6  Barrio Can Torres;Rubió de Dalt;Lleida;https://media.er2.co/es/house1959
https://www.escapadarural.com/casa-rural/house1960;house1960;Alcover;;;0;Por habitaciones;1 -   5 personas;3 camas;;28€ pers./noche (aprox);41.266098040207;2.681324841003;C/ Rectoría, 11;Alcover;Tarragona;https://media.er2.co/es/house1960
https://www.escapadarural.com/casa-rural/house1961;house1961;Lliçà d'Amunt;stars-l-5;5.0;12;Por habitaciones;2 -   12 personas;6 dormitorios;12 camas;66€ pers./noche (aprox);41.620785297209;2.682251025391;C/ Raval, s/n;Lliçà d'Amunt;Barcelona;https://media.er2.co/es/house1961
https://www.escapadarural.com/casa-rural/house1962;house1962;Cubells;stars-l-4-half;4.5;11;Alquiler íntegro;4 -   8 personas;4 dormitorios;7 camas;13€ pers./noche (aprox);41.854096926730;2.682841036987;C/ Raval, 60;Cubells;Lleida;https://media.er2.co/es/house1962
https://www.escapadarural.com/casa-rural/house1963;house1963;Cellers;stars-l-4-half;4.5;3;Por habitaciones;2 -   24 personas;75 dormitorios;24 camas;66€ pers./noche (aprox);42.067956000000;2.684000000000;C/ Raval, 4;Cellers;Lleida;https://media.er2.co/es/house1963
https://www.escapadarural.com/casa-rural/house1964;house1964;Betlan;;;0;Por habitaciones;46 personas;13 dormitorios;27 camas;46€ pers./noche (aprox);42.728258000000;2.685774667892;C/ Raval, 20;Betlan;Lleida;https://media.er2.co/es/house1964
https://www.escapadarural.com/casa-rural/house1965;house1965;Tivenys;;;0;Alquiler íntegro;2 -   3 personas;1 dormitorio;2 camas;30€ pers./noche (aprox);40.907400000000;2.687551700000;C/ Raval Vimbodi, 8   43439;Tivenys;Tarragona;https://media.er2.co/es/house1965
https://www.escapadarural.com/casa-rural/house1966;house1966;Riells i Viabrea;;;0;Alquiler íntegro;16 -   25 personas;8 dormitorios;22 camas;60€ pers./noche (aprox);41.727757800000;2.688478428650;C/ Ratera, nº 7;Riells i Viabrea;Girona;https://media.er2.co/es/house1966
https://www.escapadarural.com/casa-rural/house1967;house1967;Vielha;;;0;Alquiler íntegro;2 -   2 personas;20 dormitorios;2 camas;55€ pers./noche (aprox);42.701700000000;2.689398200000;C/ Ramal, nº 2;Vielha;Lleida;https://media.er2.co/es/house1967
https://www.escapadarural.com/casa-rural/house1968;house1968;Àger;;;0;Alquiler íntegro;2 -   7 personas;3 dormitorios;6 camas;25€ pers./noche (aprox);42.004000612799;2.696874603271;C/ Racó de Sant Pere, 6;Àger;Lleida;https://media.er2.co/es/house1968
https://www.escapadarural.com/casa-rural/house1969;house1969;Sant Boi de Lluçanès;;;0;Alquiler íntegro;8 personas;4 dormitorios;7 camas;18€ pers./noche (aprox);42.059945200000;2.698723363074;C/ Puig, 15;Sant Boi de Lluçanès;Barcelona;https://media.er2.co/es/house1969
https://www.escapadarural.com/casa-rural/house1970;house1970;L'Ampolla;;;0;Alquiler íntegro;1 -   4 personas;3 dormitorios;3 camas;30€ pers./noche (aprox);40.815563124358;2.698851500000;C/ Prat de la Vila 9;L'Ampolla;Tarragona;https://media.er2.co/es/house1970
https://www.escapadarural.com/casa-rural/house1971;house1971;Deltebre;;;0;Alquiler íntegro;1 -   6 personas;4 dormitorios;4 camas;20€ pers./noche (aprox);40.717452578155;2.700483700000;C/ Prat de la Riba, 5;Deltebre;Tarragona;https://media.er2.co/es/house1971
https://www.escapadarural.com/casa-rural/house1972;house1972;Talarn;;;0;Alquiler íntegro;6 -   10 personas;2 dormitorios;9 camas;18€ pers./noche (aprox);42.185895264708;2.701312743378;C/ Pont, 1;Talarn;Lleida;https://media.er2.co/es/house1972
https://www.escapadarural.com/casa-rural/house1973;house1973;Vilamacolum;stars-l-4;4.0;1;Por habitaciones;2 -   15 personas;6 dormitorios;9 camas;41€ pers./noche (aprox);42.194976000000;2.703244721410;C/ Pons i Arola, 3. 3º. B;Vilamacolum;Girona;https://media.er2.co/es/house1973
https://www.escapadarural.com/casa-rural/house1974;house1974;Deltebre;;;0;Alquiler íntegro;1 -   4 personas;2 dormitorios;2 camas;30€ pers./noche (aprox);40.726161131494;2.703609327295;C/ Ponent, 6;Deltebre;Tarragona;https://media.er2.co/es/house1974
https://www.escapadarural.com/casa-rural/house1975;house1975;Poboleda;;;0;Alquiler íntegro;2 -   3 personas;2 camas;;25€ pers./noche (aprox);41.233442815430;2.706891657334;C/ Planell, 2;Poboleda;Tarragona;https://media.er2.co/es/house1975
https://www.escapadarural.com/casa-rural/house1976;house1976;Camallera;stars-l-3;3.0;3;Alquiler íntegro;2 -   6 personas;2 dormitorios;6 camas;36€ pers./noche (aprox);42.122600000000;2.707757725964;C/ Plà, nº 10;Camallera;Girona;https://media.er2.co/es/house1976
https://www.escapadarural.com/casa-rural/house1977;house1977;Camallera;;;0;Alquiler íntegro;16 personas;2 dormitorios;5 camas;30€ pers./noche (aprox);42.122600000000;2.708215713501;C/ Plà More, 41;Camallera;Girona;https://media.er2.co/es/house1977
https://www.escapadarural.com/casa-rural/house1978;house1978;Bordils;stars-l-4-half;4.5;2;Alquiler íntegro;6 personas;3 dormitorios;4 camas;35€ pers./noche (aprox);42.044220815631;2.708231683762;c/ Pirineus, 44   Les Roques;Bordils;Girona;https://media.er2.co/es/house1978
